kanji,components,component_ids,radical,stroke_count,onyomi,onyomi_all,kunyomi,meaning,pinyin,pinyin_initial,pinyin_final,pinyin_tone,nasal_coda,jlpt_level
亜,"[""二"", ""口""]","[57, 593]",二,7,ア,"[""ア""]",,次、準ずる,yà,y,a,4,none,N1
唖,"[""二"", ""口"", ""亜""]","[57, 593, 66]",口,10,ア,"[""ア""]",,おし（しゃべれない人）,yǎ,y,a,3,none,N1+
娃,"[""女"", ""土"", ""圭""]","[1028, 844, 848]",女,9,ア,"[""ア"", ""アイ""]",,美しい女,wá,w,a,2,none,N1+
阿,"[""口"", ""丁"", ""可""]","[593, 1, 603]",阜,8,ア,"[""ア""]",おもね・る,,ā,,a,1,none,N1+
哀,"[""亠"", ""口"", ""衣""]","[69, 593, 4812]",口,9,アイ,"[""アイ""]",あわ・れ,悲しいさま,āi,,ai,1,none,N1
愛,"[""心"", ""夂""]","[1563, 980]",心,13,アイ,"[""アイ""]",め・でる、お・しむ、まな,慈しみ可愛がる,ài,,ai,4,none,N1+
挨,"[""厶"", ""大"", ""矢"", ""矣""]","[574, 994, 3530, 3531]",手,10,アイ,"[""アイ""]",,押す、迫る,āi,,ai,1,none,N1+
姶,"[""女"", ""口"", ""合""]","[1028, 593, 615]",女,9,オウ,"[""オウ""]",あい,,è,,e,4,none,N1+
逢,"[""夂"", ""三""]","[980, 5]",道-首,10,ホウ,"[""ホウ""]",あ・う,会う,féng,f,eng,2,ng,N1+
葵,"[""癶"", ""大"", ""天"", ""癸""]","[3423, 994, 995, 3424]",艸,12,キ,"[""キ""]",あおい,草木の名,kuí,k,ui,2,none,N1+
茜,"[""西""]",[4899],艸,9,セン,"[""セン""]",あかね,あかね（植物）、赤い色,qiàn,q,ian,4,n,N1+
穐,"[""千"", ""木"", ""禾"", ""日"", ""曰"", ""亀""]","[528, 2240, 3649, 2122, 2211, 49]",禾,16,シュウ,"[""シュウ""]",あき、とき,秋,qiū,q,iu,1,none,N1+
悪,"[""二"", ""口"", ""亜"", ""心""]","[57, 593, 66, 1563]",心,11,アク,"[""アク""]",わる・い,正しくない,è,,e,4,none,N4
握,"[""尸"", ""厶"", ""土"", ""至"", ""屋""]","[1241, 574, 844, 4338, 1255]",手,12,アク,"[""アク""]",にぎ・る,,wò,w,o,4,none,N1
渥,"[""尸"", ""厶"", ""土"", ""至"", ""屋""]","[1241, 574, 844, 4338, 1255]",水,12,アク,"[""アク""]",,厚い,wò,w,o,4,none,N1+
旭,"[""日"", ""九""]","[2122, 42]",日,6,キョク,"[""キョク""]",あさひ,朝日,xù,x,u,4,none,N1+
葦,"[""口"", ""韋""]","[593, 5894]",艸,12,イ,"[""イ""]",あし,蘆が伸びたもの、葭（あし）は生えたて,wěi,w,ei,3,none,N1+
芦,"[""尸"", ""戸""]","[1241, 1806]",艸,7,ロ,"[""ロ""]",あし,水際に自生する植物の名,lú,l,u,2,none,N1+
鯵,"[""田"", ""魚"", ""厶"", ""大"", ""彡"", ""参""]","[3303, 6114, 574, 994, 1517, 576]",魚,19,ソウ,"[""ソウ""]",あじ,魚の名,shēn,sh,en,1,n,N1+
梓,"[""木"", ""立"", ""十"", ""辛""]","[2240, 3738, 527, 5333]",木,11,シ,"[""シ""]",あずさ,落葉樹の一つ,zǐ,z,i,3,none,N1+
圧,"[""厂"", ""土""]","[559, 844]",土,5,アツ,"[""アツ""]",,押す、押さえつける,yā,y,a,1,none,N1+
斡,"[""十"", ""日"", ""斗""]","[527, 2122, 2089]",斗,14,アツ,"[""アツ"", ""ワチ""]",めぐ・る,円を描いてまわる,wò,w,o,4,none,N1+
扱,"[""及""]",[580],手,6,ソウ,"[""ソウ""]",あつか・う,手にかける、計らう、もてなす,xī,x,i,1,none,N1
宛,"[""宀"", ""夕""]","[1151, 985]",宀,8,エン,"[""エン""]",あて、あたか・も,割り当てる、名指す,wǎn,w,an,3,n,N1+
姐,"[""女"", ""且""]","[1028, 12]",女,8,ソ,"[""ソ"", ""シャ"", ""サ""]",あね,女子、娘,jiě,j,ie,3,none,N1+
虻,"[""虫"", ""亠"", ""亡""]","[4680, 69, 70]",虫,9,ボウ,"[""ボウ"", ""モウ""]",あぶ,虫の名,méng,m,eng,2,ng,N1+
飴,"[""艮"", ""良"", ""食"", ""厶"", ""口"", ""台""]","[4387, 4388, 5957, 574, 593, 604]",食,14,イ,"[""イ""]",あめ,菓子の一種,yí,y,i,2,none,N1+
絢,"[""幺"", ""小"", ""糸"", ""勹"", ""日"", ""旬""]","[1415, 1230, 3930, 496, 2122, 2127]",糸,12,ケン,"[""ケン""]",あや,美しい,xuàn,x,uan,4,n,N1+
綾,"[""幺"", ""小"", ""糸"", ""土"", ""夂""]","[1415, 1230, 3930, 844, 980]",糸,14,リョウ,"[""リョウ"", ""リン""]",あや,浮き出た感じに模様を織りこんだ薄い絹布,líng,l,ing,2,ng,N1+
鮎,"[""田"", ""魚"", ""占""]","[3303, 6114, 545]",魚,16,ネン,"[""ネン"", ""デン""]",あゆ,,nián,n,ian,2,n,N1+
或,"[""戈"", ""口""]","[1781, 593]",戈,8,コク,"[""コク"", ""ワク""]",あるい・は,もしかしたら,huò,h,uo,4,none,N1+
粟,"[""西"", ""米""]","[4899, 3881]",米,12,ゾク,"[""ゾク"", ""ショク""]",あわ,穀物の一種,sù,s,u,4,none,N1+
袷,"[""衣"", ""口"", ""合""]","[4812, 593, 615]",衣,11,コウ,"[""コウ""]",あわせ,裏の付いた着物,jiá,j,ia,2,none,N1+
安,"[""宀"", ""女""]","[1151, 1028]",宀,6,アン,"[""アン""]",やす・い,,ān,,an,1,n,N5
庵,"[""广"", ""大"", ""奄""]","[1420, 994, 1006]",广,11,アン,"[""アン""]",いおり,草葺きの小さな家、茶室,ān,,an,1,n,N1+
按,"[""宀"", ""女"", ""安""]","[1151, 1028, 1156]",手,9,アン,"[""アン""]",,手で押える、止める,àn,,an,4,n,N1+
暗,"[""日"", ""立"", ""日"", ""音""]","[2122, 3738, 2122, 5900]",日,13,アン,"[""アン""]",くら・い,光がない、愚か,àn,,an,4,n,N4
案,"[""木"", ""宀"", ""女"", ""安""]","[2240, 1151, 1028, 1156]",木,10,アン,"[""アン""]",あん、あん・ずる,机、考える,àn,,an,4,n,N4
闇,"[""門"", ""立"", ""日"", ""音""]","[5689, 3738, 2122, 5900]",門,17,アン,"[""アン""]",やみ,暗い、正当でない、愚か,àn,,an,4,n,N1+
鞍,"[""廿"", ""口"", ""十"", ""革"", ""宀"", ""女"", ""安""]","[1473, 593, 527, 5865, 1151, 1028, 1156]",革,15,アン,"[""アン""]",くら,牛馬の背に載せ、その上に荷などを載せるための道具,ān,,an,1,n,N1+
杏,"[""木"", ""口""]","[2240, 593]",木,7,アン,"[""アン"", ""キョウ""]",あんず,果樹の名,xìng,x,ing,4,ng,N1+
以,"[""丶"", ""人""]","[24, 83]",人,5,イ,"[""イ""]",も・って,用いて,yǐ,y,i,3,none,N4
伊,"[""尹""]",[1242],人,6,イ,"[""イ""]",,これ、この,yī,y,i,1,none,N1+
位,"[""立""]",[3738],人,7,イ,"[""イ""]",くらい,,wèi,w,ei,4,none,N1+
依,"[""亠"", ""衣""]","[69, 4812]",人,8,イ,"[""イ"", ""エ""]",よ・る,寄りかかる、基づく,yī,y,i,1,none,N1
偉,"[""口"", ""韋""]","[593, 5894]",人,12,イ,"[""イ""]",えら・い,勝れている、身体が大きい,wěi,w,ei,3,none,N1
囲,"[""囗"", ""井""]","[816, 62]",囗,7,イ,"[""イ""]",かこ・む,めぐらす,tōng,t,ong,1,ng,N1+
夷,"[""弓"", ""人"", ""大""]","[1485, 83, 994]",大,6,イ,"[""イ""]",えびす,,yí,y,i,2,none,N1+
委,"[""千"", ""木"", ""禾"", ""女""]","[528, 2240, 3649, 1028]",女,8,イ,"[""イ""]",くわ・しい、ゆだ・ねる,,wěi,w,ei,3,none,N1+
威,"[""厂"", ""戈"", ""女""]","[559, 1781, 1028]",女,9,イ,"[""イ""]",おど・す,,wēi,w,ei,1,none,N1
尉,"[""尸"", ""二"", ""小"", ""示"", ""寸""]","[1241, 57, 1230, 3606, 1214]",寸,11,イ,"[""イ""]",,盗賊を捕まえる地方官,wèi,w,ei,4,none,N1
惟,"[""隹""]",[5794],心,11,イ,"[""イ"", ""ユイ""]",これ,,wéi,w,ei,2,none,N1+
意,"[""立"", ""日"", ""心""]","[3738, 2122, 1563]",心,13,イ,"[""イ""]",,あれこれ思いはかる、物事にこめられている内容,yì,y,i,4,none,N4
慰,"[""尸"", ""二"", ""小"", ""示"", ""寸"", ""尉"", ""心""]","[1241, 57, 1230, 3606, 1214, 1225, 1563]",心,15,イ,"[""イ""]",なぐさ・める,安んじる、弄ぶ,wèi,w,ei,4,none,N1
易,"[""日"", ""勹"", ""勿""]","[2122, 496, 499]",日,8,エキ,"[""エキ""]",やす・い,,yì,y,i,4,none,N3
椅,"[""木"", ""大"", ""口"", ""丁"", ""可"", ""奇""]","[2240, 994, 593, 1, 603, 1007]",木,12,イ,"[""イ""]",,いす（椅子）,yǐ,y,i,3,none,N1+
為,[],[],火,9,イ,"[""イ""]",な・す、ため,する、理由・目的を表す助詞,wèi,w,ei,4,none,N1
畏,"[""田""]",[3303],田,9,イ,"[""イ""]",おそ・れる、かしこ・まる,恐れ多く思う,wèi,w,ei,4,none,N1+
異,"[""田"", ""共""]","[3303, 329]",田,11,イ,"[""イ""]",こと・なる,,yì,y,i,4,none,N1+
移,"[""千"", ""木"", ""禾"", ""夕"", ""多""]","[528, 2240, 3649, 985, 989]",禾,11,イ,"[""イ""]",うつ・る,場所が変わる,yí,y,i,2,none,N1+
維,"[""幺"", ""小"", ""糸"", ""隹""]","[1415, 1230, 3930, 5794]",糸,14,イ,"[""イ"", ""ユイ""]",,,wéi,w,ei,2,none,N1
