kanji,onyomi,onyomi_all,kunyomi_all,onyomi_in_use,kunyomi_in_use,observed_readings,meaning,components,radical,non_radical_part,radical_cd,radical_strokes,non_radical_strokes,total_strokes,pinyin,pinyin_tone,pinyin_initial,pinyin_final,pinyin_tone_num,nasal_coda,is_entering_tone,entering_coda,word_count,sample_words
一,イチ,イチ|イツ,ひと|ひと・つ,イチ|イツ,ひと|ひと・つ,いちいち|いちおう|いちかばちか|いちがいに|いちがんレフ|いちじ|いちだいじ|いちだんと|いちど|いちどう|いちにち|いちばん|いちばんのり|いちぶ|いちぶぶん|いちまつ|いちめん|いちもく|いちもくさんに|いちよう|いちりつ|いちれん|いっかつ|いっきに|いっきょに|いっけん|いっこうに|いっこくもはやく|いっさい|いっさくねん|いっしゅ|いっしゅう|いっしゅん|いっしょ|いっしょう|いっしょうけんめい|いっしょく|いっしょに|いっしん|いっせいに|いっそう|いったい|いったん|いっち|いってい|いってん|いっぱい|いっぱん|いっぱんてき|いっぺん|いっぽう|いっぽうつうこう|いまいち|おととい|おととし|かたいっぽう|さきおととい|さきおととし|ずいいち|せいいっぱい|たんいつ|だいいち|だれひとり|ちからいっぱい|ついたち|とういつ|どういつ|ひといき|ひときわ|ひとくくり|ひとこと|ひところ|ひとすじに|ひとつ|ひとつき|ひととおり|ひとばん|ひとまず|ひとめぼれ|ひとやすみ|ひとり|ひとりひとり|ひとりぼっち|まんいち|ゆいいつ|～いち,◆最初、最初の数、最も小さい数、同「壹」 ◆(幾つかあるものの内の、全体の中の)一つ、一つの、一つに、それだけ、ひたすら、同「壹」◆同じ、等しい、「同じ一つのもの」の意◆(一繋がりのものの、繋がって一つになっているものの)全て◆いち、部首名,一,一,,11,1,0,1,yi,yi1,y,i1,1,none,1,-k,90,"[{""word"": ""一日"", ""kana"": ""いちにち""}, {""word"": ""一番"", ""kana"": ""いちばん""}, {""word"": ""一緒"", ""kana"": ""いっしょ""}, {""word"": ""一緒に"", ""kana"": ""いっしょに""}, {""word"": ""一杯"", ""kana"": ""いっぱい""}, {""word"": ""一昨日"", ""kana"": ""おととい""}, {""word"": ""一昨年"", ""kana"": ""おととし""}, {""word"": ""一日"", ""kana"": ""ついたち""}, {""word"": ""一つ"", ""kana"": ""ひとつ""}, {""word"": ""一月"", ""kana"": ""ひとつき""}]"
丁,テイ,テイ|トウ|チョウ,ひのと|あ・たる,テイ|チョウ,,ちょうど|ていねい|ほうちょう|～ちょうめ,◆ひのと、十干(ジッカン、甲・乙・丙・丁・戊・己・庚・辛・壬・癸)の四番目 ◆賦役(フエキ)に徴用される年齢に達した(成年に達した)成人男性、壮年の(働き盛りの)男性◆当たる、相当する◆肉や野菜などを采の目(さいのめ、サイコロのような小さな立方体)切りにしたもの、「肉丁(ジクチョウ、ロウディン、肉を采の目切りにしたもの)」◆「丁丁(チョウチョウ)」、「かちかち」「かっかっ」「こつこつ」などのものが打ち当たる音の形容◆[日]書物の紙の枚数を数える語、表裏二頁分を一丁という◆[日]町の区画◆[日]偶数、奇数を「半」,一亅丁,一,,11,1,1,2,ding,ding1,d,ing1,1,none,0,none,4,"[{""word"": ""丁度"", ""kana"": ""ちょうど""}, {""word"": ""丁寧"", ""kana"": ""ていねい""}, {""word"": ""～丁目"", ""kana"": ""～ちょうめ""}, {""word"": ""包丁"", ""kana"": ""ほうちょう""}]"
七,シツ,シツ|シチ,なな|なな・つ|なの,シチ,なな|なな・つ|なの,しちごさん|ななつ|なのか,◆数の名、七番目 ,七,一,乚,11,1,1,2,qi,qi1,q,i1,1,none,1,-k,3,"[{""word"": ""七五三"", ""kana"": ""しちごさん""}, {""word"": ""七つ"", ""kana"": ""ななつ""}, {""word"": ""七日"", ""kana"": ""なのか""}]"
万,バン,バン|モン|マン|ボク|モク,よろず,バン|マン,,ばんざい|ばんにん|ばんのう|まん|まんいち|まんねんひつ|まんびき,◆千の十倍 ◆数え切れないほど多いさま、極めて多いさま◆あらゆる、どんなものも、全て◆決して、絶対に、「萬萬(バンバン)」◆「万俟(ボクキ)」、姓、同「𢄏俟」、「万俟卨(ボクキセツ、1083年～1157年、宋代の人)」,万,一,,11,1,2,3,wan,wan4,w,an4,4,none,0,none,7,"[{""word"": ""万"", ""kana"": ""まん""}, {""word"": ""万年筆"", ""kana"": ""まんねんひつ""}, {""word"": ""万歳"", ""kana"": ""ばんざい""}, {""word"": ""万能"", ""kana"": ""ばんのう""}, {""word"": ""万一"", ""kana"": ""まんいち""}, {""word"": ""万人"", ""kana"": ""ばんにん""}, {""word"": ""万引き"", ""kana"": ""まんびき""}]"
丈,チョウ,チョウ|ジョウ,たけ,ジョウ,たけ,がんじょう|じょうぶ|だいじょうぶ|なるたけ,◆長さの単位、1丈=10尺 ◆年長者また老人に対する敬称、「老丈(ロウジョウ、ご老人)」◆「丈夫(ジョウフ)」◇夫(おっと)◇男(おとこ)、成人の男性◇堂々(ドウドウ)としたさま◆[日]たけ、高さ◆[日]「丈夫(ジョウブ)」、しっかりしているさま、健康(ケンコウ)なさま,ナ乂丈,一,乂,11,1,2,3,zhang,zhang4,zh,ang4,4,none,0,none,4,"[{""word"": ""丈夫"", ""kana"": ""じょうぶ""}, {""word"": ""大丈夫"", ""kana"": ""だいじょうぶ""}, {""word"": ""頑丈"", ""kana"": ""がんじょう""}, {""word"": ""成る丈"", ""kana"": ""なるたけ""}]"
三,サン,サン,み|みつ|みっ・つ,サン,み|みっ・つ,さいさん|さんかく|さんかくけい|しちごさん|しゃみせん|みかづき|みっか|みっかぼうず|みっつ,◆数の名、三番目 ,三,一,二,11,1,2,3,san,san1,s,an1,1,none,0,none,9,"[{""word"": ""七五三"", ""kana"": ""しちごさん""}, {""word"": ""三日"", ""kana"": ""みっか""}, {""word"": ""三つ"", ""kana"": ""みっつ""}, {""word"": ""三角"", ""kana"": ""さんかく""}, {""word"": ""三角形"", ""kana"": ""さんかくけい""}, {""word"": ""再三"", ""kana"": ""さいさん""}, {""word"": ""三日月"", ""kana"": ""みかづき""}, {""word"": ""三味線"", ""kana"": ""しゃみせん""}, {""word"": ""三日坊主"", ""kana"": ""みっかぼうず""}]"
上,ショウ,ショウ|ジョウ,あ・がる|うえ|うわ|かみ|のぼ・る,ショウ|ジョウ,あ・がる|うえ|うわ|かみ|のぼ・る,あがり|あがる|あげる|いじょう|うえ|うちあげる|うまい|うりあげ|うわがき|うわぎ|うわまわる|うわむく|うわやく|おくじょう|おしあげる|おてあげ|かくあげ|かみ～|ききじょうず|きりあげる|ぎゃくじょう|こうじょう|こうじょうしん|こみあげる|さいじょう|さしあげる|さんじょう|しあがる|しあげる|しじょう|じょうい|じょうえい|じょうえん|じょうきげん|じょうきゅう|じょうきょう|じょうくう|じょうげ|じょうし|じょうしょう|じょうず|じょうたつ|じょうとう|じょうはんしん|じょうひん|じょうりく|じょじょう|そのうえ|たちあがる|たちあげる|たなあげ|ちょうじょう|ちんあげ|できあがる|としうえ|とじょう|とびあがる|とりあげる|ねあがり|ねあげ|のぼる|はれあがる|ひきあげる|ふくれあがる|へんじょう|まいあがる|まうえ|みあげる|みのうえ|めうえ|めしあがる|もうしあげる|もちあげる|もりあがる|よみあげる|りくじょう|わきあがる,◆位置・場所・地位などが高い、高い方にある◆高い方に移る、昇る、登る◆順序・時間などが前、前の方にある◆前の方に移る◆等級・品質などが高い、優れている◆殿様、皇帝、君主、民(たみ)の上に立つ人,上,一,卜,11,1,2,3,shang,shang4,sh,ang4,4,none,0,none,79,"[{""word"": ""上げる"", ""kana"": ""あげる""}, {""word"": ""上"", ""kana"": ""うえ""}, {""word"": ""上着"", ""kana"": ""うわぎ""}, {""word"": ""上手"", ""kana"": ""じょうず""}, {""word"": ""登る/上る"", ""kana"": ""のぼる""}, {""word"": ""上る"", ""kana"": ""あがる""}, {""word"": ""以上"", ""kana"": ""いじょう""}, {""word"": ""旨/巧/美味/甘/上手い"", ""kana"": ""うまい""}, {""word"": ""屋上"", ""kana"": ""おくじょう""}, {""word"": ""差し上げる"", ""kana"": ""さしあげる""}]"
下,カ,カ|ゲ,お・りる|くだ・る|さ・がる|した|しも|もと,カ|ゲ,お・りる|くだ・る|さ・がる|した|しも|もと,あしもと|いか|おりる|おろす|かこう|かせん|くださる|くだり|くだる|くつした|げこう|げしゃ|げしゅく|げじゅん|げすい|げた|げひん|げらく|さがる|さげる|さんか|した|したうけ|したがき|したぎ|したごころ|したしらべ|したじ|したどり|したび|したまち|したまわる|したやく|しも|じょうかまち|じょうげ|ちか|ちかすい|ちかてつ|ちんさげ|ていか|とうか|としした|ねさがり|ねさげ|ひきさげる|ぶか|ぶらさがる|ぶらさげる|へた|ました|みおろす|めした|もっか|らっか|ろうか|～か,◆位置・場所・地位などが低い、低い方にある◆低い方に移る、降りる、落ちる◆順序・時間などが後(あと)、後の方にある◆後の方に移る、後(うし)ろの方へ退く◆等級・品質などが低い、劣っている◆支配・管理されている状態にある、「天下(テンカ)」「配下(ハイカ)」◆他からの影響・教授を受ける位置にいる、「門下(モンカ)」,下,一,卜,11,1,2,3,xia,xia4,x,ia4,4,none,0,none,58,"[{""word"": ""下さる"", ""kana"": ""くださる""}, {""word"": ""靴下"", ""kana"": ""くつした""}, {""word"": ""下"", ""kana"": ""した""}, {""word"": ""地下鉄"", ""kana"": ""ちかてつ""}, {""word"": ""低下"", ""kana"": ""ていか""}, {""word"": ""下手"", ""kana"": ""へた""}, {""word"": ""廊下"", ""kana"": ""ろうか""}, {""word"": ""以下"", ""kana"": ""いか""}, {""word"": ""下りる"", ""kana"": ""おりる""}, {""word"": ""下宿"", ""kana"": ""げしゅく""}]"
不,フウ,フウ|フ|ブ,,フウ|フ|ブ,,ふあん|ふあんてい|ふあんない|ふい|ふうん|ふえて|ふおん|ふか|ふかい|ふかかい|ふかくじつ|ふかくてい|ふかけつ|ふかのう|ふかひ|ふかんぜん|ふきそく|ふきつ|ふきょう|ふけいき|ふけつ|ふこう|ふこうへい|ふごうかく|ふざい|ふしぎ|ふしょうじ|ふしん|ふしんかん|ふしんせつ|ふじ|ふじゅうぶん|ふじゅん|ふじゆう|ふせい|ふせっせい|ふそく|ふたしか|ふちゅうい|ふちょう|ふつう|ふと|ふとう|ふどうさん|ふひょう|ふび|ふふく|ふへい|ふべん|ふほんい|ふまん|ふまんぞく|ふみんしょう|ふめい|ふゆかい|ふよう|ふり|ふりょう|ふ～|まずい|りふじん|～ぶそく,◆～でない、～ない、not、no、否定の語、同「弗」、「不可(フカ、認められない、してはならない)」「不知(フチ、知らない)」◆否(いな)、いや、いいや、同意できない、認められない、受け入れられない、否定・不同意の言葉、同「否」◆～か?、～ではないだろうか、～であろうか、文末に付いて疑問・反問などを表す語◆然(しか)らずんば、～でなければ～、同「否」◆大きい、大きなさま、同「丕」,不,一,个,11,1,3,4,bu,bu4,b,u4,4,none,1,-k,63,"[{""word"": ""不味い"", ""kana"": ""まずい""}, {""word"": ""不自由"", ""kana"": ""ふじゆう""}, {""word"": ""不親切"", ""kana"": ""ふしんせつ""}, {""word"": ""不動産"", ""kana"": ""ふどうさん""}, {""word"": ""不便"", ""kana"": ""ふべん""}, {""word"": ""不～"", ""kana"": ""ふ～""}, {""word"": ""不安"", ""kana"": ""ふあん""}, {""word"": ""不安定"", ""kana"": ""ふあんてい""}, {""word"": ""不可能"", ""kana"": ""ふかのう""}, {""word"": ""不幸"", ""kana"": ""ふこう""}]"
与,ヨ,ヨ,あた・える|くみ・する|あずか・る,ヨ,あた・える|あずか・る,あずかる|あたえる|かんよ|きゅうよ|きよ|しょうよ|じゅよ,◆上位の者が下位の者に物などをやる、授(さず)ける、同「賜予(シヨ)」◆同じ目的を持った仲間に加わる、また加わって共に行動する、組する、同「與」◆関(かか)わる、関与(カンヨ)する、同「與」「預」「豫」◆～とand～、同じもの(同じ意味を持つ語)を繋(つな)ぐ語、同「與」,ト⺊Ｌフ𠃌与,一,,11,1,2,3,yu,yu3,y,u3,3,none,0,none,7,"[{""word"": ""与える"", ""kana"": ""あたえる""}, {""word"": ""給与"", ""kana"": ""きゅうよ""}, {""word"": ""与る"", ""kana"": ""あずかる""}, {""word"": ""関与"", ""kana"": ""かんよ""}, {""word"": ""寄与"", ""kana"": ""きよ""}, {""word"": ""授与"", ""kana"": ""じゅよ""}, {""word"": ""賞与"", ""kana"": ""しょうよ""}]"
